SoluteName                                                                                                                       , SoluteSMILES                                      , SolventName               , SolventSMILES              , delGsolv
n-octane                                                                                                                         , CCCCCCCC                                          , 2methylpyridine           , CC1=NC=CC=C1               , -4.73
toluene                                                                                                                          , CC1=CC=CC=C1                                      , 2methylpyridine           , CC1=NC=CC=C1               , -5.06
ethanol                                                                                                                          , C(C)O                                             , 2methylpyridine           , CC1=NC=CC=C1               , -5.01
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , 2methylpyridine           , CC1=NC=CC=C1               , -5.01
2-butanone                                                                                                                       , CC(CC)=O                                          , 2methylpyridine           , CC1=NC=CC=C1               , -4.52
2-methylpyridine                                                                                                                 , CC1=NC=CC=C1                                      , 2methylpyridine           , CC1=NC=CC=C1               , -5.71
naphthalene                                                                                                                      , C1=CC=CC2=CC=CC=C12                               , 4methyl2pentanone         , CC(CC(C)=O)C               , -7.45
phenol                                                                                                                           , C1(=CC=CC=C1)O                                    , 4methyl2pentanone         , CC(CC(C)=O)C               , -9.38
m-cresol                                                                                                                         , C1=C(C=CC=C1O)C                                   , 4methyl2pentanone         , CC(CC(C)=O)C               , -8.79
aceticacid                                                                                                                       , C(C)(=O)O                                         , 4methyl2pentanone         , CC(CC(C)=O)C               , -6.33
propanoicacid                                                                                                                    , C(CC)(=O)O                                        , 4methyl2pentanone         , CC(CC(C)=O)C               , -6.85
butanoicacid                                                                                                                     , C(CCC)(=O)O                                       , 4methyl2pentanone         , CC(CC(C)=O)C               , -7.44
trimethylamine                                                                                                                   , CN(C)C                                            , 4methyl2pentanone         , CC(CC(C)=O)C               , -2.86
diethylamine                                                                                                                     , C(C)NCC                                           , 4methyl2pentanone         , CC(CC(C)=O)C               , -3.63
pyridine                                                                                                                         , N1=CC=CC=C1                                       , 4methyl2pentanone         , CC(CC(C)=O)C               , -5.33
aniline                                                                                                                          , NC1=CC=CC=C1                                      , 4methyl2pentanone         , CC(CC(C)=O)C               , -7.54
ammonia                                                                                                                          , N                                                 , 4methyl2pentanone         , CC(CC(C)=O)C               , -2.52
methylamine                                                                                                                      , CN                                                , 4methyl2pentanone         , CC(CC(C)=O)C               , -4.14
4-methyl-2-pentanone                                                                                                             , CC(CC(C)=O)C                                      , 4methyl2pentanone         , CC(CC(C)=O)C               , -5.23
n-octane                                                                                                                         , CCCCCCCC                                          , aceticacid                , C(C)(=O)O                  , -3.93
toluene                                                                                                                          , CC1=CC=CC=C1                                      , aceticacid                , C(C)(=O)O                  , -4.53
ethanol                                                                                                                          , C(C)O                                             , aceticacid                , C(C)(=O)O                  , -5.25
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , aceticacid                , C(C)(=O)O                  , -5.8
